place_id,name,rating,user_ratings_total,latitude,longitude,price_level,types
ChIJraewjGLe3IARYAwwneSDa0A,Ruth's Chris Steak House,4.6,1625,33.6717694,-117.8457112,4,restaurant|point_of_interest|food|establishment
ChIJex5rPY3e3IARHTbquboGWsY,Il Fornaio Irvine,4.4,1262,33.6797403,-117.8527727,2,restaurant|point_of_interest|food|establishment
ChIJJ0exQEXe3IARSC9hkvP-P5I,Flame Broiler,3.7,131,33.6569404,-117.8653183,1,meal_takeaway|restaurant|point_of_interest|food|establishment
ChIJLaN5x5ne3IARWZT-H0YEsgM,K1 Speed - Indoor Go Karts Corporate Event Venue Team Building Activities,4.5,2596,33.6910181,-117.8418087,,tourist_attraction|bar|restaurant|point_of_interest|food|establishment
ChIJiakTC_fe3IARbdJXn0lHDOY,TEN Sushi + Cocktail Bar,4.4,877,33.6789526,-117.8532453,2,bar|restaurant|point_of_interest|food|establishment
ChIJD-WLjblU2YARAG059sxj_Y8,CUCINA enoteca Newport Beach,4.4,986,33.6154959,-117.8781406,2,liquor_store|restaurant|store|point_of_interest|food|establishment
ChIJ_2DXNjTc3IARQ-jZopL4pis,Stonefire Grill,4.3,1107,33.6856144,-117.811343,2,restaurant|point_of_interest|food|establishment
ChIJh01i1Bjf3IAR4bPrbpI69eU,Mitsuwa Marketplace,4.6,4971,33.6814,-117.884,2,supermarket|grocery_or_supermarket|restaurant|store|point_of_interest|food|establishment
ChIJEyaRe_Xe3IARW2MC0ts6R4c,Bistango in Irvine,4.5,931,33.6703735,-117.8576463,3,restaurant|point_of_interest|food|establishment
ChIJkV5eRfHe3IARFClDyUpzVhg,Aura Bar & Grill,3.6,34,33.67449879999999,-117.8607941,,bar|restaurant|point_of_interest|food|establishment
ChIJDbFMCzPc3IARRxMp3wxdPZI,Olive Garden Italian Restaurant,4.3,1976,33.682594,-117.814017,2,bar|meal_takeaway|restaurant|point_of_interest|food|establishment
ChIJc740BIbg3IARy4t2xVotOww,True Food Kitchen,4.4,1320,33.615096,-117.8732486,2,restaurant|point_of_interest|food|establishment
ChIJYTp1y4ne3IARuAcUUaQvCuM,Houston's,4.5,2156,33.6737126,-117.8460466,3,restaurant|point_of_interest|food|establishment
ChIJT72y5lfe3IARHRNAakPn580,Benihana,4.1,2241,33.6668287,-117.8670021,3,restaurant|point_of_interest|food|establishment
ChIJhwM6t1ne3IARe_H52Wmrhio,Classic Q,4.3,899,33.6651386,-117.8644503,2,bar|meal_takeaway|restaurant|point_of_interest|food|establishment
ChIJVS-XHiTf3IARX5n1WyXQqXE,Mastro's Steakhouse,4.5,1968,33.6896362,-117.8826376,4,restaurant|point_of_interest|food|establishment
ChIJyY0tEIvg3IARZGObWxhVlR0,Tommy Bahama Restaurant Bar & Store,4.5,1192,33.605316,-117.874612,3,restaurant|bar|clothing_store|store|point_of_interest|food|establishment
ChIJh01i1Bjf3IARtowCaOH1lpU,Hokkaido Ramen Santouka,4.4,298,33.6812438,-117.8843311,2,restaurant|point_of_interest|food|establishment
ChIJL3ZSoDXc3IARgk_pTBYKBwQ,California Fish Grill,4.4,1295,33.6841898,-117.8092072,2,restaurant|point_of_interest|food|establishment
ChIJIbEPz_rg3IARBzaZPwN5Itk,Five Crowns,4.5,1009,33.5934697,-117.8670056,3,bar|restaurant|point_of_interest|food|establishment
